                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4524,                 3.1672,                 1.7261,                0.00309,                   0.95,                0.11725,                0.03087,                 1.5364,                 4.0813,                 2.1454,                 0.0003,                 0.0003,                 0.0003
                      1,                  1.221,                   3.03,                 1.5911,                0.00309,                   0.95,                0.11071,                0.03156,                 1.5071,                 4.0385,                 2.1166,             0.00069993,             0.00069993,             0.00069993
                      2,                 1.3416,                 3.0213,                   1.66,                0.00309,                   0.95,                 0.1695,                0.05098,                 1.2587,                 3.9093,                 1.8909,              0.0010998,              0.0010998,              0.0010998
                      3,                 1.2531,                 3.0304,                 1.7049,                0.00317,                  0.975,                 0.4027,                0.19538,                 1.0124,                 3.7027,                 1.6095,              0.0014996,              0.0014996,              0.0014996
                      4,                 1.1527,                 2.8646,                 1.5162,                0.00309,                   0.95,                0.72981,                0.41513,                 1.0391,                 3.6047,                 1.5534,              0.0018992,              0.0018992,              0.0018992
                      5,                 1.0059,                 2.6149,                 1.3342,                0.00317,                  0.975,                0.77853,                0.44655,                0.99062,                 3.4925,                 1.5176,              0.0022989,              0.0022989,              0.0022989
                      6,                 1.1255,                 2.1974,                 1.3533,                0.00317,                  0.975,                0.82655,                0.41576,                 1.0944,                 3.4753,                 1.6082,              0.0026984,              0.0026984,              0.0026984
                      7,                 1.0933,                 1.9564,                 1.3676,                0.00325,                      1,                  0.879,                0.47066,                 1.1493,                  3.452,                 1.5703,              0.0030979,              0.0030979,              0.0030979
                      8,                0.94855,                 2.0228,                 1.2956,                0.09218,                      1,                0.96243,                0.49118,                 1.1512,                  3.323,                 1.6269,              0.0034972,              0.0034972,              0.0034972
                      9,                 1.0528,                  1.711,                 1.3103,                      1,                0.37256,                0.98958,                0.53337,                 1.1608,                 3.3198,                 1.6834,              0.0038965,              0.0038965,              0.0038965
                     10,                 1.0171,                 1.6516,                 1.2983,                      1,                0.04914,                0.89656,                0.51293,                 1.0574,                 3.3602,                 1.5706,              0.0042957,              0.0042957,              0.0042957
                     11,                 1.0669,                 1.7601,                 1.3699,                0.96574,                0.70488,                0.94693,                0.52194,                 1.0545,                 3.2481,                 1.5451,              0.0046949,              0.0046949,              0.0046949
                     12,                 1.2079,                 2.0501,                 1.7048,                0.00309,                   0.95,                0.63523,                0.23968,                 1.7303,                 3.7912,                 2.1562,              0.0050939,              0.0050939,              0.0050939
                     13,                 1.0805,                  1.702,                 1.3587,                      1,                0.07169,                0.62622,                0.30475,                  1.256,                  3.585,                 1.7779,              0.0054929,              0.0054929,              0.0054929
                     14,                 0.9654,                 1.4802,                 1.2748,                      1,                0.10995,                0.75426,                0.39396,                 1.2137,                  3.513,                 1.6958,              0.0058918,              0.0058918,              0.0058918
                     15,                 1.1328,                 1.4868,                 1.3417,                      1,                0.25192,                 0.7224,                0.31701,                 1.3421,                 3.4498,                 1.8225,              0.0062906,              0.0062906,              0.0062906
                     16,                 1.1718,                 1.4747,                 1.4529,                0.90164,                0.45861,                0.83936,                0.41778,                 1.3927,                 3.2181,                 2.0281,              0.0066894,              0.0066894,              0.0066894
                     17,                 1.1987,                 1.7592,                 1.5457,                0.93366,                0.35197,                0.71071,                0.31835,                 1.7035,                 3.3416,                 2.2365,              0.0070881,              0.0070881,              0.0070881
                     18,                 1.0533,                 1.3701,                 1.3538,                      1,                0.36884,                0.72822,                 0.3472,                   1.65,                  3.299,                 2.1784,              0.0074866,              0.0074866,              0.0074866
                     19,                 1.2141,                 1.4693,                 1.5068,                0.60004,                  0.125,                0.29461,                0.10351,                 2.1054,                 3.9847,                 2.8018,              0.0078851,              0.0078851,              0.0078851
                     20,                 1.2007,                 1.4683,                 1.3391,                 0.4145,                    0.4,                0.31671,                0.07334,                 2.6574,                 3.1551,                 4.8518,              0.0082836,              0.0082836,              0.0082836
                     21,                 1.1281,                 1.3003,                 1.4451,                0.45593,                   0.45,                 0.4118,                0.11149,                 2.0712,                 3.9855,                 3.3473,              0.0086819,              0.0086819,              0.0086819
                     22,                 1.2233,                  1.378,                 1.3738,                 0.2281,                    0.4,                0.16799,                0.05834,                 2.3182,                 3.4516,                 3.5142,              0.0090802,              0.0090802,              0.0090802
                     23,                 1.1508,                 1.3818,                 1.4018,                0.04871,                  0.025,                0.04375,                0.01461,                 2.7788,                 3.6214,                  3.757,              0.0094784,              0.0094784,              0.0094784
                     24,                 1.1678,                  1.328,                 1.3867,                0.04228,                    0.1,                0.02808,                0.00635,                 3.1257,                 3.5105,                 3.6768,              0.0098765,              0.0098765,              0.0098765
                     25,                  1.439,                 1.3752,                 1.5197,                0.49314,                  0.525,                0.50958,                0.19225,                 1.9615,                  2.444,                 2.9927,              0.0099753,              0.0099753,              0.0099753
                     26,                  1.276,                 1.4477,                 1.5247,                0.29701,                    0.4,                0.23117,                0.05861,                 2.5044,                 4.4558,                 4.2678,              0.0099753,              0.0099753,              0.0099753
                     27,                 1.3008,                 1.2908,                 1.4873,                0.50025,                0.55056,                0.52385,                0.21778,                  1.865,                 3.5703,                 3.2752,              0.0099743,              0.0099743,              0.0099743
                     28,                 1.2495,                  1.222,                 1.4744,                 0.4378,                  0.275,                0.31281,                 0.1514,                 1.7847,                 3.6405,                 2.9305,              0.0099733,              0.0099733,              0.0099733
                     29,                 1.2669,                 1.2191,                 1.4811,                0.48666,                   0.55,                  0.481,                0.15036,                 2.1839,                 2.5857,                 3.5649,              0.0099723,              0.0099723,              0.0099723
                     30,                 1.4239,                 1.2891,                 1.6276,                0.63467,                   0.55,                0.62084,                0.30264,                 1.8248,                 2.4512,                 3.3117,              0.0099713,              0.0099713,              0.0099713
                     31,                 1.1571,                 1.2222,                 1.3858,                0.90909,                   0.25,                0.51532,                0.19149,                 2.2083,                 10.776,                 5.3228,              0.0099703,              0.0099703,              0.0099703
                     32,                 1.2307,                 1.1765,                 1.3947,                0.47222,                    0.6,                0.50219,                0.22071,                 2.1298,                  3.219,                 4.9707,              0.0099693,              0.0099693,              0.0099693
                     33,                  1.441,                 1.2522,                 1.5628,                0.45083,                  0.575,                0.52281,                0.23723,                  2.055,                 3.3954,                 4.8606,              0.0099683,              0.0099683,              0.0099683
                     34,                 1.3454,                 1.1366,                 1.5756,                0.62703,                0.42045,                0.50189,                0.17707,                 2.3798,                 3.6347,                 6.9431,              0.0099673,              0.0099673,              0.0099673
                     35,                 1.2394,                 1.2564,                 1.4547,                0.33228,                    0.5,                0.32736,                0.09189,                 2.3857,                 3.5814,                 7.1007,              0.0099663,              0.0099663,              0.0099663
